model,name,desc,cat1,cat2,cat3,cat4,quantity,price,manufacturer,manufacturer_pb,weight,unit
111332,"""Tipse za nokte ZAOBLJENE  500/1  4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NADOGRADNJA NOKTIJU""","""PRIPREMA I FINIŠ NOKTIJU""",90,467,"""4NAILS""",,0,"""kom"""
111333,"""Blaznice za nokte 1000/1  THUYA""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""ALAT, PRIBOR I SITAN INVENTAR""","""OSTALO""",0,1084,"""THUYA""",,0.378,"""kom"""
111334,"""Akril prah PEACH 65gr""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NADOGRADNJA NOKTIJU""","""AKRIL TEHNIKA""",5,2332,"""THUYA""",,0.086,"""kom"""
111335,"""Akril prah opaque pink 65gr""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NADOGRADNJA NOKTIJU""","""AKRIL TEHNIKA""",4,2332,"""THUYA""",,0.087,"""kom"""
111408,"""Turpija za nokte MOST šarena  4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""ALAT, PRIBOR I SITAN INVENTAR""","""TURPIJE""",75,124,"""4NAILS""",,0,"""kom"""
110157,"""Akril prirodni 65gr""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NADOGRADNJA NOKTIJU""","""AKRIL TEHNIKA""",7,2332,"""THUYA""",,0.086,"""kom"""
110158,"""Akril beli 65gr""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NADOGRADNJA NOKTIJU""","""AKRIL TEHNIKA""",2,2332,"""THUYA""",,0.087,"""kom"""
110159,"""Akril bezbojni 65gr""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NADOGRADNJA NOKTIJU""","""AKRIL TEHNIKA""",1,2332,"""THUYA""",,0.087,"""kom"""
111111,"""Tipse za nokte KOCKASTE  500/1  4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NADOGRADNJA NOKTIJU""","""PRIPREMA I FINIŠ NOKTIJU""",408,467,"""4NAILS""",,0,"""kom"""
111124,"""Jastučić za manikir BELI  4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""ALAT, PRIBOR I SITAN INVENTAR""","""OSTALO""",93,380,"""4NAILS""",,0,"""kom"""
111125,"""Jastučić za manikir ZEBRASTI 4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""ALAT, PRIBOR I SITAN INVENTAR""","""OSTALO""",159,380,"""4NAILS""",,0,"""kom"""
111126,"""Jastučić za manikir BAKARNI  4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""ALAT, PRIBOR I SITAN INVENTAR""","""OSTALO""",66,380,"""4NAILS""",,0,"""kom"""
111127,"""Jastučić za manikir ŠARENI  4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""ALAT, PRIBOR I SITAN INVENTAR""","""OSTALO""",0,380,"""4NAILS""",,0,"""kom"""
111128,"""Jastučić za manikir TAČKE CRNE  4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""ALAT, PRIBOR I SITAN INVENTAR""","""OSTALO""",7,380,"""4NAILS""",,0,"""kom"""
111129,"""Jastučić za manikir sa podlogom RAZNI  4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""ALAT, PRIBOR I SITAN INVENTAR""","""OSTALO""",83,1029,"""4NAILS""",,0,"""kom"""
111133,"""UV Gel  beli 15ml 4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NADOGRADNJA NOKTIJU""","""UV GEL TEHNIKA""",1133,490,"""4NAILS""",,0,"""kom"""
111137,"""Dekoracija lomljena školjka LJUBIČASTA 4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NAIL ART""","""OSTALO""",761,63,"""4NAILS""",,0,"""kom"""
111138,"""Dekoracija lomljena školjka ROZA 4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NAIL ART""","""OSTALO""",397,63,"""4NAILS""",,0,"""kom"""
111139,"""Dekoracija lomljena školjka LILA 4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NAIL ART""","""OSTALO""",334,63,"""4NAILS""",,0,"""kom"""
111140,"""Dekoracija lomljena školjka MASTILO 4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NAIL ART""","""OSTALO""",151,63,"""4NAILS""",,0,"""kom"""
111141,"""Dekoracija lomljena školjka TAM.LJUBIČASTA 4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NAIL ART""","""OSTALO""",274,63,"""4NAILS""",,0,"""kom"""
111142,"""Dekoracija lomljena školjka TAMNO PLAVA 4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NAIL ART""","""OSTALO""",417,63,"""4NAILS""",,0,"""kom"""
111143,"""Dekoracija lomljena školjka PLAVA 4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NAIL ART""","""OSTALO""",151,63,"""4NAILS""",,0,"""kom"""
111253,"""Gliter prah krupni ZELENI  3gr 4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NAIL ART""","""CIRKONI I GLITERI""",176,72,"""4NAILS""",,0,"""kom"""
111254,"""Gliter prah krupni LJUBIČASTI  3gr 4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NAIL ART""","""CIRKONI I GLITERI""",114,72,"""4NAILS""",,0,"""kom"""
111255,"""Gliter prah krupni PLAVI  3gr 4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NAIL ART""","""CIRKONI I GLITERI""",216,72,"""4NAILS""",,0,"""kom"""
111256,"""Gliter prah krupni BELI  3gr 4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NAIL ART""","""CIRKONI I GLITERI""",57,72,"""4NAILS""",,0,"""kom"""
111257,"""Gliter prah krupni CRNI  3gr 4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NAIL ART""","""CIRKONI I GLITERI""",13,72,"""4NAILS""",,0,"""kom"""
111258,"""Dekoracija sušeno cveće veće PRLJAVO ROZA 4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NAIL ART""","""OSTALO""",270,93,"""4NAILS""",,0,"""kom"""
111259,"""Dekoracija sušeno cveće veće LJUBIČASTO 4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NAIL ART""","""OSTALO""",186,93,"""4NAILS""",,0,"""kom"""
111260,"""Dekoracija sušeno cveće manje ŽUTO 4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NAIL ART""","""OSTALO""",509,93,"""4NAILS""",,0,"""kom"""
111261,"""Dekoracija sušeno cveće manje LJUBIČASTO 4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NAIL ART""","""OSTALO""",267,93,"""4NAILS""",,0,"""kom"""
111293,"""Četkica za nanošenje akrila br.10  NB1024  4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""ALAT, PRIBOR I SITAN INVENTAR""","""ČETKICE""",176,551,"""4NAILS""",,0,"""kom"""
111294,"""Četkica za nanošenje akrila br.2  NB1025  4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""ALAT, PRIBOR I SITAN INVENTAR""","""ČETKICE""",37,202,"""4NAILS""",,0,"""kom"""
111295,"""Četkica za nanošenje akrila br.4  NB1025  4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""ALAT, PRIBOR I SITAN INVENTAR""","""ČETKICE""",8,220,"""4NAILS""",,0,"""kom"""
111296,"""Četkica za nanošenje akrila br.6  NB1025  4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""ALAT, PRIBOR I SITAN INVENTAR""","""ČETKICE""",65,239,"""4NAILS""",,0,"""kom"""
111297,"""Četkica za nanošenje akrila br.8  NB1025  4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""ALAT, PRIBOR I SITAN INVENTAR""","""ČETKICE""",199,258,"""4NAILS""",,0,"""kom"""
111298,"""Četkica za nanošenje akrila br.10  NB1025  4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""ALAT, PRIBOR I SITAN INVENTAR""","""ČETKICE""",152,277,"""4NAILS""",,0,"""kom"""
111235,"""Gliter prah sitni SVETLO LJUBIČASTI 5gr  4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NAIL ART""","""CIRKONI I GLITERI""",348,61,"""4NAILS""",,0,"""kom"""
111236,"""Gliter prah sitni PURPURNA 5gr  4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NAIL ART""","""CIRKONI I GLITERI""",0,61,"""4NAILS""",,0,"""kom"""
111237,"""Gliter prah sitni ŠARENO SREBRNI 5gr 4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NAIL ART""","""CIRKONI I GLITERI""",16,61,"""4NAILS""",,0,"""kom"""
